"","CRN","Time","Days","SEC","Seats","Course Location"
"1","30001","10:30 - 11:50 AM","TR","A01","0","AAS 010REMOTE TBA"
"2","30001","5:10 - 6:00 PM","T","A01","0","AAS 010REMOTE TBA"
"3","30002","6:10 - 7:00 PM","T","A02","0","AAS 010REMOTE TBA"
"4","30002","10:30 - 11:50 AM","TR","A02","0","AAS 010REMOTE TBA"
"5","30005","1:40 - 3:00 PM","TR","A01","0","AAS 012REMOTE TBA"
"6","30005","4:10 - 5:00 PM","W","A01","0","AAS 012REMOTE TBA"
"7","30006","1:40 - 3:00 PM","TR","A02","0","AAS 012REMOTE TBA"
"8","30006","5:10 - 6:00 PM","W","A02","0","AAS 012REMOTE TBA"
"9","30007","1:40 - 3:00 PM","TR","A03","0","AAS 012REMOTE TBA"
"10","30007","5:10 - 6:00 PM","R","A03","0","AAS 012REMOTE TBA"
"11","30008","1:40 - 3:00 PM","TR","A04","7","AAS 012REMOTE TBA"
"12","30008","6:10 - 7:00 PM","R","A04","7","AAS 012REMOTE TBA"
"13","62088","5:10 - 6:00 PM","T","A01","0","AAS 100REMOTE TBA"
"14","62088","9:00 - 10:20 AM","TR","A01","0","AAS 100REMOTE TBA"
"15","62089","6:10 - 7:00 PM","T","A02","0","AAS 100REMOTE TBA"
"16","62089","9:00 - 10:20 AM","TR","A02","0","AAS 100REMOTE TBA"
"17","62090","6:10 - 7:00 PM","W","A03","9","AAS 100REMOTE TBA"
"18","62090","9:00 - 10:20 AM","MTR","A03","9","AAS 100REMOTE TBA"
"19","62091","9:00 - 10:20 AM","TR","A04","0","AAS 100REMOTE TBA"
"20","62091","7:10 - 8:00 PM","W","A04","0","AAS 100REMOTE TBA"
"21","62092","5:10 - 6:00 PM","R","A05","0","AAS 100REMOTE TBA"
"22","62092","9:00 - 10:20 AM","TR","A05","0","AAS 100REMOTE TBA"
"23","62093","6:10 - 7:00 PM","R","A06","4","AAS 100REMOTE TBA"
"24","62093","9:00 - 10:20 AM","TR","A06","4","AAS 100REMOTE TBA"
"25","30021","2:10 - 4:00 PM","MW","001","1","AAS 107DREMOTE TBA"
"26","62731","6:10 - 7:00 PM","TR","001","8","AAS 130REMOTE TBA"
"27","62731","7:10 - 8:00 PM","T","001","8","AAS 130REMOTE TBA"
"28","62731","TBA",NA,"001","8","AAS 130TBA"
"29","62106","4:10 - 6:00 PM","MW","001","20","AAS 145BREMOTE TBA"
"30","62107","4:40 - 6:00 PM","TR","001","3","AAS 153REMOTE TBA"
"31","62653","12:10 - 2:00 PM","TR","001","15","AAS 155AREMOTE TBA"
"32","62111","10:00 - 11:50 AM","MW","001","25","AAS 176REMOTE TBA"
"33","62113","12:10 - 1:30 PM","MW","001","0","AAS 185REMOTE TBA"
"34","30077","3:30 - 5:00 PM","MW","001","0","ABG 200BREMOTE TBA"
"35","30078","TBA",NA,"002","8","ABG 200BTBA"
"36","62879","10:00 - 11:50 AM","TR","001","1","ABG 205REMOTE TBA"
"37","62879","TBA",NA,"001","1","ABG 205REMOTE TBA"
"38","30080","10:00 - 10:50 AM","MW","001","-1","ABG 255REMOTE TBA"
"39","30081","TBA",NA,"001","0","ABG 290TBA"
"40","30082","TBA",NA,"002","8","ABG 290TBA"
"41","61990","9:00 - 11:50 AM","T","A01","0","ABI 050AREMOTE TBA"
"42","61990","8:00 - 8:50 AM","R","A01","0","ABI 050AREMOTE TBA"
"43","61991","2:10 - 5:00 PM","T","A02","0","ABI 050AREMOTE TBA"
"44","61991","8:00 - 8:50 AM","R","A02","0","ABI 050AREMOTE TBA"
"45","61992","9:00 - 11:50 AM","F","A03","0","ABI 050AREMOTE TBA"
"46","61992","8:00 - 8:50 AM","R","A03","0","ABI 050AREMOTE TBA"
"47","61993","2:10 - 5:00 PM","F","A04","10","ABI 050AREMOTE TBA"
"48","61993","8:00 - 8:50 AM","R","A04","10","ABI 050AREMOTE TBA"
"49","30211","9:00 - 10:20 AM","TR","001","15","ABI 050CREMOTE TBA"
"50","30212","4:40 - 6:00 PM","TR","002","29","ABI 050CREMOTE TBA"
"51","62182","8:00 - 8:50 AM","MTWR","001","178","ABI 103REMOTE TBA"
"52","62182","8:00 - 8:50 AM","F","001","178","ABI 103REMOTE TBA"
"53","30341","1:10 - 4:00 PM","M","A01","0","ABT 049WCAE"
"54","30341","9:00 - 9:50 AM","M","A01","0","ABT 049REMOTE TBA"
"55","30342","9:00 - 9:50 AM","M","A02","0","ABT 049REMOTE TBA"
"56","30342","1:10 - 4:00 PM","T","A02","0","ABT 049WCAE"
"57","30343","9:00 - 9:50 AM","M","A03","0","ABT 049REMOTE TBA"
"58","30343","1:10 - 4:00 PM","W","A03","0","ABT 049WCAE"
"59","30344","9:00 - 9:50 AM","M","A04","0","ABT 049REMOTE TBA"
"60","30344","1:10 - 4:00 PM","R","A04","0","ABT 049WCAE"
"61","30345","9:00 - 9:50 AM","M","A05","0","ABT 049REMOTE TBA"
"62","30345","1:10 - 4:00 PM","F","A05","0","ABT 049WCAE"
"63","30346","9:00 - 9:50 AM","M","A06","0","ABT 049REMOTE TBA"
"64","30346","9:00 - 11:50 AM","S","A06","0","ABT 049WCAE"
"65","30347","11:00 - 11:50 AM","M","B01","0","ABT 049REMOTE TBA"
"66","30347","1:10 - 4:00 PM","M","B01","0","ABT 049WCAE"
"67","30348","11:00 - 11:50 AM","M","B02","0","ABT 049REMOTE TBA"
"68","30348","1:10 - 4:00 PM","T","B02","0","ABT 049WCAE"
"69","30349","11:00 - 11:50 AM","M","B03","0","ABT 049REMOTE TBA"
"70","30349","1:10 - 4:00 PM","W","B03","0","ABT 049WCAE"
"71","30350","11:00 - 11:50 AM","M","B04","0","ABT 049REMOTE TBA"
"72","30350","1:10 - 4:00 PM","R","B04","0","ABT 049WCAE"
"73","30351","11:00 - 11:50 AM","M","B05","0","ABT 049REMOTE TBA"
"74","30351","1:10 - 4:00 PM","F","B05","0","ABT 049WCAE"
"75","30352","11:00 - 11:50 AM","M","B06","0","ABT 049REMOTE TBA"
"76","30352","9:00 - 11:50 AM","S","B06","0","ABT 049WCAE"
"77","62896","10:00 - 12:50 PM","W","001","3","ABT 060WCAE"
"78","62896","9:00 - 10:20 AM","TR","001","3","ABT 060REMOTE TBA"
"79","62896","TBA",NA,"001","3","ABT 060REMOTE TBA"
"80","62325","1:10 - 3:00 PM","R","001","21","ABT 110REMOTE TBA"
"81","62325","12:10 - 1:00 PM","TR","001","21","ABT 110REMOTE TBA"
"82","30407","9:00 - 11:50 AM","F","001","0","ABT 142REMOTE TBA"
"83","30407","8:00 - 8:50 AM","F","001","0","ABT 142REMOTE TBA"
"84","30408","9:00 - 11:50 AM","F","A01","0","ABT 150REMOTE TBA"
"85","30408","9:00 - 10:20 AM","TR","A01","0","ABT 150REMOTE TBA"
"86","30409","1:10 - 4:00 PM","F","A02","0","ABT 150REMOTE TBA"
"87","30409","9:00 - 10:20 AM","TR","A02","0","ABT 150REMOTE TBA"
"88","30410","1:10 - 4:00 PM","R","A03","0","ABT 150REMOTE TBA"
"89","30410","9:00 - 10:20 AM","TR","A03","0","ABT 150REMOTE TBA"
"90","30411","9:00 - 10:20 AM","TR","A04","0","ABT 150REMOTE TBA"
"91","30411","9:00 - 11:50 AM","F","A04","0","ABT 150REMOTE TBA"
"92","30412","9:00 - 11:50 AM","R","001","9","ABT 163REMOTE TBA"
"93","30546","2:10 - 4:00 PM","TR","001","2","ABT 212REMOTE TBA"
"94","30546","TBA",NA,"001","2","ABT 212TBA"
"95","30630","TBA",NA,"001","15","ACC 205TBA"
"96","30631","TBA",NA,"001","25","ACC 215TBA"
"97","30632","TBA",NA,"001","1","ACC 243TBA"
"98","30633","TBA",NA,"002","1","ACC 243TBA"
"99","30634","TBA",NA,"001","25","ACC 455TBA"
"100","30653","TBA",NA,"001","6","AED 301TBA"
"101","30657","2:10 - 3:00 PM","W","001","12","AGC 290REMOTE TBA"
"102","30693","10:30 - 11:50 AM","TR","A01","2","AHI 001CREMOTE TBA"
"103","30693","9:00 - 9:50 AM","M","A01","2","AHI 001CREMOTE TBA"
"104","30694","10:30 - 11:50 AM","TR","A02","7","AHI 001CREMOTE TBA"
"105","30694","10:00 - 11:50 AM","M","A02","7","AHI 001CREMOTE TBA"
"106","30695","5:10 - 6:00 PM","M","A03","0","AHI 001CREMOTE TBA"
"107","30695","10:30 - 11:50 AM","TR","A03","0","AHI 001CREMOTE TBA"
"108","30696","10:30 - 11:50 AM","TR","A04","9","AHI 001CREMOTE TBA"
"109","30696","9:00 - 9:50 AM","T","A04","9","AHI 001CREMOTE TBA"
"110","30697","4:10 - 5:00 PM","T","A05","7","AHI 001CREMOTE TBA"
"111","30697","10:30 - 11:50 AM","TR","A05","7","AHI 001CREMOTE TBA"
"112","30698","9:00 - 9:50 AM","W","A06","16","AHI 001CREMOTE TBA"
"113","30698","10:30 - 11:50 AM","TR","A06","16","AHI 001CREMOTE TBA"
"114","30699","10:00 - 10:50 AM","W","A07","10","AHI 001CREMOTE TBA"
"115","30699","10:30 - 11:50 AM","TR","A07","10","AHI 001CREMOTE TBA"
"116","30700","9:00 - 9:50 AM","R","A08","11","AHI 001CREMOTE TBA"
"117","30700","10:30 - 11:50 AM","TR","A08","11","AHI 001CREMOTE TBA"
"118","30701","10:30 - 11:50 AM","TR","A09","13","AHI 001CREMOTE TBA"
"119","30701","4:10 - 5:00 PM","R","A09","13","AHI 001CREMOTE TBA"
"120","30703","TBA",NA,"001","10","AHI 001DTBA"
"121","30703","12:10 - 2:00 PM","MW","001","10","AHI 001DREMOTE TBA"
"122","62227","10:10 - 1:00 PM","F","001","0","AHI 101REMOTE TBA"
"123","62194","3:10 - 4:00 PM","T","A01","0","AHI 153REMOTE TBA"
"124","62194","1:40 - 3:00 PM","TR","A01","0","AHI 153REMOTE TBA"
"125","62195","1:40 - 3:00 PM","TR","A02","0","AHI 153REMOTE TBA"
"126","62195","6:10 - 7:00 PM","T","A02","0","AHI 153REMOTE TBA"
"127","62196","4:10 - 5:00 PM","W","A01","0","AHI 157REMOTE TBA"
"128","62196","4:40 - 6:00 PM","TR","A01","0","AHI 157REMOTE TBA"
"129","62197","4:40 - 6:00 PM","TR","A02","0","AHI 157REMOTE TBA"
"130","62197","5:10 - 6:00 PM","W","A02","0","AHI 157REMOTE TBA"
"131","62198","3:10 - 4:00 PM","R","A03","0","AHI 157REMOTE TBA"
"132","62198","4:40 - 6:00 PM","TR","A03","0","AHI 157REMOTE TBA"
"133","62199","4:40 - 6:00 PM","TR","A04","0","AHI 157REMOTE TBA"
"134","62199","6:10 - 7:00 PM","R","A04","0","AHI 157REMOTE TBA"
"135","62205","2:10 - 4:00 PM","MW","001","28","AHI 163DREMOTE TBA"
"136","30726","10:00 - 11:50 AM","MW","001","50","AHI 181REMOTE TBA"
"137","30726","TBA",NA,"001","50","AHI 181TBA"
"138","62183","12:10 - 1:30 PM","TR","001","15","AHI 183AREMOTE TBA"
"139","62206","10:30 - 11:50 AM","TR","001","0","AHI 187REMOTE TBA"
"140","30728","12:10 - 3:00 PM","T","001","10","AHI 190CREMOTE TBA"
"141","30776","12:10 - 3:00 PM","T","001","3","AHI 290REMOTE TBA"
"142","30852","4:10 - 5:00 PM","W","A01","0","AMS 005REMOTE TBA"
"143","30852","1:10 - 2:00 PM","MWF","A01","0","AMS 005REMOTE TBA"
"144","30853","1:10 - 2:00 PM","MWF","A02","0","AMS 005REMOTE TBA"
"145","30853","5:10 - 6:00 PM","W","A02","0","AMS 005REMOTE TBA"
"146","30854","1:10 - 2:00 PM","MWF","A03","0","AMS 005REMOTE TBA"
"147","30854","6:10 - 7:00 PM","R","A03","0","AMS 005REMOTE TBA"
"148","30855","1:10 - 2:00 PM","MWF","A04","0","AMS 005REMOTE TBA"
"149","30855","7:10 - 8:00 PM","R","A04","0","AMS 005REMOTE TBA"
"150","30856","9:00 - 9:50 AM","F","A05","0","AMS 005REMOTE TBA"
"151","30856","1:10 - 2:00 PM","MWF","A05","0","AMS 005REMOTE TBA"
"152","30857","10:00 - 10:50 AM","F","A06","0","AMS 005REMOTE TBA"
"153","30857","1:10 - 2:00 PM","MWF","A06","0","AMS 005REMOTE TBA"
"154","61927","10:30 - 11:50 AM","TR","A01","0","AMS 030REMOTE TBA"
"155","61927","5:10 - 6:00 PM","T","A01","0","AMS 030REMOTE TBA"
"156","61928","10:30 - 11:50 AM","TR","A02","0","AMS 030REMOTE TBA"
"157","61928","6:10 - 7:00 PM","T","A02","0","AMS 030REMOTE TBA"
"158","61929","10:30 - 11:50 AM","TR","A03","0","AMS 030REMOTE TBA"
"159","61929","6:10 - 7:00 PM","W","A03","0","AMS 030REMOTE TBA"
"160","61930","10:30 - 11:50 AM","TR","A04","0","AMS 030REMOTE TBA"
"161","61930","7:10 - 8:00 PM","W","A04","0","AMS 030REMOTE TBA"
"162","30858","3:10 - 4:30 PM","TR","A01","0","AMS 055REMOTE TBA"
"163","30858","5:10 - 6:00 PM","T","A01","0","AMS 055REMOTE TBA"
"164","30859","3:10 - 4:30 PM","TR","A02","0","AMS 055REMOTE TBA"
"165","30859","6:10 - 7:00 PM","T","A02","0","AMS 055REMOTE TBA"
"166","30860","3:10 - 4:30 PM","TR","A03","0","AMS 055REMOTE TBA"
"167","30860","4:10 - 5:00 PM","W","A03","0","AMS 055REMOTE TBA"
"168","30861","3:10 - 4:30 PM","TR","A04","0","AMS 055REMOTE TBA"
"169","30861","5:10 - 6:00 PM","W","A04","0","AMS 055REMOTE TBA"
"170","30862","3:10 - 4:30 PM","TR","A05","0","AMS 055REMOTE TBA"
"171","30862","5:10 - 6:00 PM","R","A05","0","AMS 055REMOTE TBA"
"172","30863","3:10 - 4:30 PM","TR","A06","0","AMS 055REMOTE TBA"
"173","30863","6:10 - 7:00 PM","R","A06","0","AMS 055REMOTE TBA"
"174","30864","9:00 - 9:50 AM","F","A07","0","AMS 055REMOTE TBA"
"175","30864","3:10 - 4:30 PM","TR","A07","0","AMS 055REMOTE TBA"
"176","30865","10:00 - 10:50 AM","F","A08","0","AMS 055REMOTE TBA"
"177","30865","3:10 - 4:30 PM","TR","A08","0","AMS 055REMOTE TBA"
"178","30866","12:10 - 1:00 PM","F","A09","0","AMS 055REMOTE TBA"
"179","30866","3:10 - 4:30 PM","TR","A09","0","AMS 055REMOTE TBA"
"180","30867","1:10 - 2:00 PM","F","A10","0","AMS 055REMOTE TBA"
"181","30867","3:10 - 4:30 PM","TR","A10","0","AMS 055REMOTE TBA"
"182","30871","9:00 - 9:50 AM","W","A01","0","AMS 095REMOTE TBA"
"183","30871","9:00 - 9:50 AM","M","A01","0","AMS 095REMOTE TBA"
"184","61931","TBA",NA,"001","0","AMS 130TBA"
"185","61931","12:10 - 1:30 PM","TR","001","0","AMS 130REMOTE TBA"
"186","30897","10:00 - 10:50 AM","TR","001","19","AMS 153REMOTE TBA"
"187","30897","11:00 - 11:50 AM","TR","001","19","AMS 153REMOTE TBA"
"188","61934","2:10 - 5:00 PM","R","001","5","AMS 160REMOTE TBA"
"189","31111","12:10 - 1:00 PM","T","A01","0","ANG 107REMOTE TBA"
"190","31111","11:00 - 11:50 AM","T","A01","0","ANG 107REMOTE TBA"
"191","31111","4:10 - 5:00 PM","MTWRF","A01","0","ANG 107REMOTE TBA"
"192","31112","12:10 - 1:00 PM","T","A02","0","ANG 107REMOTE TBA"
"193","31112","1:10 - 2:00 PM","T","A02","0","ANG 107REMOTE TBA"
"194","31112","4:10 - 5:00 PM","MTWRF","A02","0","ANG 107REMOTE TBA"
"195","31113","4:10 - 5:00 PM","MTWRF","A03","0","ANG 107REMOTE TBA"
"196","31113","1:10 - 2:00 PM","T","A03","0","ANG 107REMOTE TBA"
"197","31113","2:10 - 3:00 PM","T","A03","0","ANG 107REMOTE TBA"
"198","31114","4:10 - 5:00 PM","MTWRF","A04","0","ANG 107REMOTE TBA"
"199","31114","3:10 - 4:00 PM","T","A04","0","ANG 107REMOTE TBA"
"200","31114","2:10 - 3:00 PM","T","A04","0","ANG 107REMOTE TBA"
"201","31115","10:00 - 10:50 AM","F","010","0","ANG 185REMOTE TBA"
