"","CRN","Time","Days","Course Location","SEC","Seats","Title","Old GE"," New GE","Instructor","Units"
"1","30001","10:30 - 11:50 AM","TR","AAS 010REMOTE TBA","A01","0","African-Am Culture & Soc","SS D","DD SS ACGH WE","Weber, B","4.0"
"2","30001","5:10 - 6:00 PM","T","AAS 010REMOTE TBA","A01","0","African-Am Culture & Soc","SS D","DD SS ACGH WE","Weber, B","4.0"
"3","30002","6:10 - 7:00 PM","T","AAS 010REMOTE TBA","A02","0","African-Am Culture & Soc","SS D","DD SS ACGH WE","Weber, B","4.0"
"4","30002","10:30 - 11:50 AM","TR","AAS 010REMOTE TBA","A02","0","African-Am Culture & Soc","SS D","DD SS ACGH WE","Weber, B","4.0"
"5","30005","1:40 - 3:00 PM","TR","AAS 012REMOTE TBA","A01","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"6","30005","4:10 - 5:00 PM","W","AAS 012REMOTE TBA","A01","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"7","30006","1:40 - 3:00 PM","TR","AAS 012REMOTE TBA","A02","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"8","30006","5:10 - 6:00 PM","W","AAS 012REMOTE TBA","A02","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"9","30007","1:40 - 3:00 PM","TR","AAS 012REMOTE TBA","A03","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"10","30007","5:10 - 6:00 PM","R","AAS 012REMOTE TBA","A03","0","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"11","30008","1:40 - 3:00 PM","TR","AAS 012REMOTE TBA","A04","7","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"12","30008","6:10 - 7:00 PM","R","AAS 012REMOTE TBA","A04","7","Intro African Studies","AH D W","AH SS WC WE","Adejunmobi, M","4.0"
"13","@","TBA",NA,"AAS 099TBA","-","0","Special StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"14","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"15","62088","5:10 - 6:00 PM","T","AAS 100REMOTE TBA","A01","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"16","62088","9:00 - 10:20 AM","TR","AAS 100REMOTE TBA","A01","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"17","62089","6:10 - 7:00 PM","T","AAS 100REMOTE TBA","A02","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"18","62089","9:00 - 10:20 AM","TR","AAS 100REMOTE TBA","A02","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"19","62090","6:10 - 7:00 PM","W","AAS 100REMOTE TBA","A03","9","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"20","62090","9:00 - 10:20 AM","MTR","AAS 100REMOTE TBA","A03","9","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"21","62091","9:00 - 10:20 AM","TR","AAS 100REMOTE TBA","A04","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"22","62091","7:10 - 8:00 PM","W","AAS 100REMOTE TBA","A04","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"23","62092","5:10 - 6:00 PM","R","AAS 100REMOTE TBA","A05","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"24","62092","9:00 - 10:20 AM","TR","AAS 100REMOTE TBA","A05","0","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"25","62093","6:10 - 7:00 PM","R","AAS 100REMOTE TBA","A06","4","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"26","62093","9:00 - 10:20 AM","TR","AAS 100REMOTE TBA","A06","4","Ethnicity in the US","AH","AH DD ACGH","Williams, A","4.0"
"27","30021","2:10 - 4:00 PM","MW","AAS 107DREMOTE TBA","001","1","African Heritg in Europe","AH SS D W","AH SS WC","White, E","4.0"
"28","62731","6:10 - 7:00 PM","TR","AAS 130REMOTE TBA","001","8","African-American Educ","SS","DD SS","Williams, A","4.0"
"29","62731","7:10 - 8:00 PM","T","AAS 130REMOTE TBA","001","8","African-American Educ","SS","DD SS","Williams, A","4.0"
"30","62731","TBA",NA,"AAS 130TBA","001","8","African-American Educ","SS","DD SS","Williams, A","4.0"
"31","62106","4:10 - 6:00 PM","MW","AAS 145BREMOTE TBA","001","20","Black Intellectuals","SS D","DD SS WE","Decristo, J","4.0"
"32","62107","4:40 - 6:00 PM","TR","AAS 153REMOTE TBA","001","3","African Literature","AH D W","AH WC WE","Adejunmobi, M","4.0"
"33","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
