"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"1",1,30001,"10:30 - 11:50 AM","TR","A01",0,"AAS 010REMOTE TBA","AAS 010"
"2",2,30001,"5:10 - 6:00 PM","T","A01",0,"AAS 010REMOTE TBA","AAS 010"
"3",3,30002,"6:10 - 7:00 PM","T","A02",0,"AAS 010REMOTE TBA","AAS 010"
"4",4,30002,"10:30 - 11:50 AM","TR","A02",0,"AAS 010REMOTE TBA","AAS 010"
"5",5,30005,"1:40 - 3:00 PM","TR","A01",0,"AAS 012REMOTE TBA","AAS 012"
"6",6,30005,"4:10 - 5:00 PM","W","A01",0,"AAS 012REMOTE TBA","AAS 012"
"7",7,30006,"1:40 - 3:00 PM","TR","A02",0,"AAS 012REMOTE TBA","AAS 012"
"8",8,30006,"5:10 - 6:00 PM","W","A02",0,"AAS 012REMOTE TBA","AAS 012"
"9",9,30007,"1:40 - 3:00 PM","TR","A03",0,"AAS 012REMOTE TBA","AAS 012"
"10",10,30007,"5:10 - 6:00 PM","R","A03",0,"AAS 012REMOTE TBA","AAS 012"
"11",11,30008,"1:40 - 3:00 PM","TR","A04",7,"AAS 012REMOTE TBA","AAS 012"
"12",12,30008,"6:10 - 7:00 PM","R","A04",7,"AAS 012REMOTE TBA","AAS 012"
"13",13,62088,"5:10 - 6:00 PM","T","A01",0,"AAS 100REMOTE TBA","AAS 100"
"14",14,62088,"9:00 - 10:20 AM","TR","A01",0,"AAS 100REMOTE TBA","AAS 100"
"15",15,62089,"6:10 - 7:00 PM","T","A02",0,"AAS 100REMOTE TBA","AAS 100"
"16",16,62089,"9:00 - 10:20 AM","TR","A02",0,"AAS 100REMOTE TBA","AAS 100"
"17",17,62090,"6:10 - 7:00 PM","W","A03",9,"AAS 100REMOTE TBA","AAS 100"
"18",18,62090,"9:00 - 10:20 AM","MTR","A03",9,"AAS 100REMOTE TBA","AAS 100"
"19",19,62091,"9:00 - 10:20 AM","TR","A04",0,"AAS 100REMOTE TBA","AAS 100"
"20",20,62091,"7:10 - 8:00 PM","W","A04",0,"AAS 100REMOTE TBA","AAS 100"
"21",21,62092,"5:10 - 6:00 PM","R","A05",0,"AAS 100REMOTE TBA","AAS 100"
"22",22,62092,"9:00 - 10:20 AM","TR","A05",0,"AAS 100REMOTE TBA","AAS 100"
"23",23,62093,"6:10 - 7:00 PM","R","A06",4,"AAS 100REMOTE TBA","AAS 100"
"24",24,62093,"9:00 - 10:20 AM","TR","A06",4,"AAS 100REMOTE TBA","AAS 100"
"25",25,30021,"2:10 - 4:00 PM","MW","001",1,"AAS 107DREMOTE TBA","AAS 107D"
"26",26,62731,"6:10 - 7:00 PM","TR","001",8,"AAS 130REMOTE TBA","AAS 130"
"27",27,62731,"7:10 - 8:00 PM","T","001",8,"AAS 130REMOTE TBA","AAS 130"
"28",28,62731,"TBA",NA,"001",8,"AAS 130TBA","AAS 130"
"29",29,62106,"4:10 - 6:00 PM","MW","001",20,"AAS 145BREMOTE TBA","AAS 145B"
"30",30,62107,"4:40 - 6:00 PM","TR","001",3,"AAS 153REMOTE TBA","AAS 153"
