"","CRN","all_time","all_days","Section","Seats","course_name","format.time","has.tba"
"1",30001,"10:30 - 11:50 AM|5:10 - 6:00 PM","TR|T","A01",0,"AAS 010","T 10:30 - 11:50 AM#R 10:30 - 11:50 AM#T 5:10 - 6:00 PM",0
"2",30002,"6:10 - 7:00 PM|10:30 - 11:50 AM","T|TR","A02",0,"AAS 010","T 6:10 - 7:00 PM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"3",30005,"1:40 - 3:00 PM|4:10 - 5:00 PM","TR|W","A01",0,"AAS 012","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#W 4:10 - 5:00 PM",0
"4",30006,"1:40 - 3:00 PM|5:10 - 6:00 PM","TR|W","A02",0,"AAS 012","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#W 5:10 - 6:00 PM",0
"5",30007,"1:40 - 3:00 PM|5:10 - 6:00 PM","TR|R","A03",0,"AAS 012","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#R 5:10 - 6:00 PM",0
"6",30008,"1:40 - 3:00 PM|6:10 - 7:00 PM","TR|R","A04",7,"AAS 012","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#R 6:10 - 7:00 PM",0
"7",30021,"2:10 - 4:00 PM","MW","001",1,"AAS 107D","M 2:10 - 4:00 PM#W 2:10 - 4:00 PM",0
"8",30077,"3:30 - 5:00 PM","MW","001",0,"ABG 200B","M 3:30 - 5:00 PM#W 3:30 - 5:00 PM",0
"9",30078,"TBA","NA","002",8,"ABG 200B","TBA",1
"10",30080,"10:00 - 10:50 AM","MW","001",-1,"ABG 255","M 10:00 - 10:50 AM#W 10:00 - 10:50 AM",0
"11",30081,"TBA","NA","001",0,"ABG 290","TBA",1
"12",30082,"TBA","NA","002",8,"ABG 290","TBA",1
"13",30211,"9:00 - 10:20 AM","TR","001",15,"ABI 050C","T 9:00 - 10:20 AM#R 9:00 - 10:20 AM",0
"14",30212,"4:40 - 6:00 PM","TR","002",29,"ABI 050C","T 4:40 - 6:00 PM#R 4:40 - 6:00 PM",0
"15",30341,"1:10 - 4:00 PM|9:00 - 9:50 AM","M|M","A01",0,"ABT 049","M 1:10 - 4:00 PM#M 9:00 - 9:50 AM",0
"16",30342,"9:00 - 9:50 AM|1:10 - 4:00 PM","M|T","A02",0,"ABT 049","M 9:00 - 9:50 AM#T 1:10 - 4:00 PM",0
"17",30343,"9:00 - 9:50 AM|1:10 - 4:00 PM","M|W","A03",0,"ABT 049","M 9:00 - 9:50 AM#W 1:10 - 4:00 PM",0
"18",30344,"9:00 - 9:50 AM|1:10 - 4:00 PM","M|R","A04",0,"ABT 049","M 9:00 - 9:50 AM#R 1:10 - 4:00 PM",0
"19",30345,"9:00 - 9:50 AM|1:10 - 4:00 PM","M|F","A05",0,"ABT 049","M 9:00 - 9:50 AM#F 1:10 - 4:00 PM",0
"20",30346,"9:00 - 9:50 AM|9:00 - 11:50 AM","M|S","A06",0,"ABT 049","M 9:00 - 9:50 AM#S 9:00 - 11:50 AM",0
"21",30347,"11:00 - 11:50 AM|1:10 - 4:00 PM","M|M","B01",0,"ABT 049","M 11:00 - 11:50 AM#M 1:10 - 4:00 PM",0
"22",30348,"11:00 - 11:50 AM|1:10 - 4:00 PM","M|T","B02",0,"ABT 049","M 11:00 - 11:50 AM#T 1:10 - 4:00 PM",0
"23",30349,"11:00 - 11:50 AM|1:10 - 4:00 PM","M|W","B03",0,"ABT 049","M 11:00 - 11:50 AM#W 1:10 - 4:00 PM",0
"24",30350,"11:00 - 11:50 AM|1:10 - 4:00 PM","M|R","B04",0,"ABT 049","M 11:00 - 11:50 AM#R 1:10 - 4:00 PM",0
"25",30351,"11:00 - 11:50 AM|1:10 - 4:00 PM","M|F","B05",0,"ABT 049","M 11:00 - 11:50 AM#F 1:10 - 4:00 PM",0
"26",30352,"11:00 - 11:50 AM|9:00 - 11:50 AM","M|S","B06",0,"ABT 049","M 11:00 - 11:50 AM#S 9:00 - 11:50 AM",0
"27",30407,"9:00 - 11:50 AM|8:00 - 8:50 AM","F|F","001",0,"ABT 142","F 9:00 - 11:50 AM#F 8:00 - 8:50 AM",0
"28",30408,"9:00 - 11:50 AM|9:00 - 10:20 AM","F|TR","A01",0,"ABT 150","F 9:00 - 11:50 AM#T 9:00 - 10:20 AM#R 9:00 - 10:20 AM",0
"29",30409,"1:10 - 4:00 PM|9:00 - 10:20 AM","F|TR","A02",0,"ABT 150","F 1:10 - 4:00 PM#T 9:00 - 10:20 AM#R 9:00 - 10:20 AM",0
"30",30410,"1:10 - 4:00 PM|9:00 - 10:20 AM","R|TR","A03",0,"ABT 150","R 1:10 - 4:00 PM#T 9:00 - 10:20 AM#R 9:00 - 10:20 AM",0
"31",30411,"9:00 - 10:20 AM|9:00 - 11:50 AM","TR|F","A04",0,"ABT 150","T 9:00 - 10:20 AM#R 9:00 - 10:20 AM#F 9:00 - 11:50 AM",0
"32",30412,"9:00 - 11:50 AM","R","001",9,"ABT 163","R 9:00 - 11:50 AM",0
"33",30546,"2:10 - 4:00 PM|TBA","TR|NA","001",2,"ABT 212","T 2:10 - 4:00 PM#R 2:10 - 4:00 PM",1
"34",30630,"TBA","NA","001",15,"ACC 205","TBA",1
"35",30631,"TBA","NA","001",25,"ACC 215","TBA",1
"36",30632,"TBA","NA","001",1,"ACC 243","TBA",1
"37",30633,"TBA","NA","002",1,"ACC 243","TBA",1
"38",30634,"TBA","NA","001",25,"ACC 455","TBA",1
"39",30653,"TBA","NA","001",6,"AED 301","TBA",1
"40",30657,"2:10 - 3:00 PM","W","001",12,"AGC 290","W 2:10 - 3:00 PM",0
"41",30693,"10:30 - 11:50 AM|9:00 - 9:50 AM","TR|M","A01",2,"AHI 001C","T 10:30 - 11:50 AM#R 10:30 - 11:50 AM#M 9:00 - 9:50 AM",0
"42",30694,"10:30 - 11:50 AM|10:00 - 11:50 AM","TR|M","A02",7,"AHI 001C","T 10:30 - 11:50 AM#R 10:30 - 11:50 AM#M 10:00 - 11:50 AM",0
"43",30695,"5:10 - 6:00 PM|10:30 - 11:50 AM","M|TR","A03",0,"AHI 001C","M 5:10 - 6:00 PM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"44",30696,"10:30 - 11:50 AM|9:00 - 9:50 AM","TR|T","A04",9,"AHI 001C","T 10:30 - 11:50 AM#R 10:30 - 11:50 AM#T 9:00 - 9:50 AM",0
"45",30697,"4:10 - 5:00 PM|10:30 - 11:50 AM","T|TR","A05",7,"AHI 001C","T 4:10 - 5:00 PM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"46",30698,"9:00 - 9:50 AM|10:30 - 11:50 AM","W|TR","A06",16,"AHI 001C","W 9:00 - 9:50 AM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"47",30699,"10:00 - 10:50 AM|10:30 - 11:50 AM","W|TR","A07",10,"AHI 001C","W 10:00 - 10:50 AM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"48",30700,"9:00 - 9:50 AM|10:30 - 11:50 AM","R|TR","A08",11,"AHI 001C","R 9:00 - 9:50 AM#T 10:30 - 11:50 AM#R 10:30 - 11:50 AM",0
"49",30701,"10:30 - 11:50 AM|4:10 - 5:00 PM","TR|R","A09",13,"AHI 001C","T 10:30 - 11:50 AM#R 10:30 - 11:50 AM#R 4:10 - 5:00 PM",0
"50",30703,"TBA|12:10 - 2:00 PM","NA|MW","001",10,"AHI 001D","M 12:10 - 2:00 PM#W 12:10 - 2:00 PM",1
"51",30726,"10:00 - 11:50 AM|TBA","MW|NA","001",50,"AHI 181","M 10:00 - 11:50 AM#W 10:00 - 11:50 AM",1
"52",30728,"12:10 - 3:00 PM","T","001",10,"AHI 190C","T 12:10 - 3:00 PM",0
"53",30776,"12:10 - 3:00 PM","T","001",3,"AHI 290","T 12:10 - 3:00 PM",0
"54",30852,"4:10 - 5:00 PM|1:10 - 2:00 PM","W|MWF","A01",0,"AMS 005","W 4:10 - 5:00 PM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"55",30853,"1:10 - 2:00 PM|5:10 - 6:00 PM","MWF|W","A02",0,"AMS 005","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#W 5:10 - 6:00 PM",0
"56",30854,"1:10 - 2:00 PM|6:10 - 7:00 PM","MWF|R","A03",0,"AMS 005","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 6:10 - 7:00 PM",0
"57",30855,"1:10 - 2:00 PM|7:10 - 8:00 PM","MWF|R","A04",0,"AMS 005","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 7:10 - 8:00 PM",0
"58",30856,"9:00 - 9:50 AM|1:10 - 2:00 PM","F|MWF","A05",0,"AMS 005","F 9:00 - 9:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"59",30857,"10:00 - 10:50 AM|1:10 - 2:00 PM","F|MWF","A06",0,"AMS 005","F 10:00 - 10:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"60",30858,"3:10 - 4:30 PM|5:10 - 6:00 PM","TR|T","A01",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#T 5:10 - 6:00 PM",0
"61",30859,"3:10 - 4:30 PM|6:10 - 7:00 PM","TR|T","A02",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#T 6:10 - 7:00 PM",0
"62",30860,"3:10 - 4:30 PM|4:10 - 5:00 PM","TR|W","A03",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#W 4:10 - 5:00 PM",0
"63",30861,"3:10 - 4:30 PM|5:10 - 6:00 PM","TR|W","A04",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#W 5:10 - 6:00 PM",0
"64",30862,"3:10 - 4:30 PM|5:10 - 6:00 PM","TR|R","A05",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#R 5:10 - 6:00 PM",0
"65",30863,"3:10 - 4:30 PM|6:10 - 7:00 PM","TR|R","A06",0,"AMS 055","T 3:10 - 4:30 PM#R 3:10 - 4:30 PM#R 6:10 - 7:00 PM",0
"66",30864,"9:00 - 9:50 AM|3:10 - 4:30 PM","F|TR","A07",0,"AMS 055","F 9:00 - 9:50 AM#T 3:10 - 4:30 PM#R 3:10 - 4:30 PM",0
"67",30865,"10:00 - 10:50 AM|3:10 - 4:30 PM","F|TR","A08",0,"AMS 055","F 10:00 - 10:50 AM#T 3:10 - 4:30 PM#R 3:10 - 4:30 PM",0
"68",30866,"12:10 - 1:00 PM|3:10 - 4:30 PM","F|TR","A09",0,"AMS 055","F 12:10 - 1:00 PM#T 3:10 - 4:30 PM#R 3:10 - 4:30 PM",0
"69",30867,"1:10 - 2:00 PM|3:10 - 4:30 PM","F|TR","A10",0,"AMS 055","F 1:10 - 2:00 PM#T 3:10 - 4:30 PM#R 3:10 - 4:30 PM",0
"70",30871,"9:00 - 9:50 AM|9:00 - 9:50 AM","W|M","A01",0,"AMS 095","W 9:00 - 9:50 AM#M 9:00 - 9:50 AM",0
"71",30897,"10:00 - 10:50 AM|11:00 - 11:50 AM","TR|TR","001",19,"AMS 153","T 10:00 - 10:50 AM#R 10:00 - 10:50 AM#T 11:00 - 11:50 AM#R 11:00 - 11:50 AM",0
"72",31111,"12:10 - 1:00 PM|11:00 - 11:50 AM|4:10 - 5:00 PM","T|T|MTWRF","A01",0,"ANG 107","T 12:10 - 1:00 PM#T 11:00 - 11:50 AM#M 4:10 - 5:00 PM#T 4:10 - 5:00 PM#W 4:10 - 5:00 PM#R 4:10 - 5:00 PM#F 4:10 - 5:00 PM",0
